user_id,team_id,dateAdded
12,48,2024-04-22
12,3,2025-02-20
12,21,2024-07-14
1,42,2024-04-26
2,38,2024-03-24
3,17,2024-10-24
4,43,2024-03-08
5,45,2024-08-07
6,19,2024-04-29
7,33,2024-08-20
8,37,2024-07-12
9,3,2024-07-15
10,44,2024-12-31
11,48,2024-08-30
12,38,2024-02-15
13,3,2024-06-29
14,46,2024-12-27
7,24,2024-08-15
15,4,2024-03-04
10,24,2024-07-31
12,4,2025-02-22
13,12,2024-03-24
13,18,2025-03-03
13,16,2024-08-08
12,30,2024-04-25
12,13,2024-02-01
3,8,2024-07-19
4,40,2024-05-12
5,26,2024-11-22
6,16,2024-03-30
7,25,2024-03-07
8,6,2025-01-02
9,29,2024-07-25
10,9,2025-03-08
11,15,2024-08-09
12,33,2024-06-02
13,19,2024-10-15
14,11,2025-02-15
15,5,2025-03-11
16,22,2024-10-03
17,11,2024-04-16
18,5,2024-10-08
19,12,2025-01-06
9,22,2024-03-11
9,31,2024-05-06
9,46,2024-04-01
9,32,2024-08-12
9,8,2024-10-09
9,26,2024-05-22
9,41,2024-11-03
9,48,2024-09-17
9,40,2024-12-23
9,47,2024-12-03
9,17,2025-02-06
9,6,2024-12-28
9,18,2024-05-14
9,7,2024-07-10
9,24,2024-11-28
9,1,2024-06-23
8,47,2024-05-22
8,3,2024-09-23
8,8,2024-05-02
8,12,2024-05-24
11,47,2024-09-05
4,41,2024-06-14
8,28,2024-07-25
4,23,2025-02-26
6,23,2024-08-22
96,32,2024-03-09
4,28,2024-05-07
4,13,2024-07-24
4,10,2024-11-22
5,21,2025-01-29
7,29,2024-06-09
6,20,2024-10-13
5,46,2024-02-25
3,42,2025-01-28
4,8,2024-09-06
5,44,2024-02-03
6,38,2025-02-01
7,42,2024-06-18
6,32,2024-12-29
4,14,2024-03-02
2,7,2024-08-18
3,29,2024-04-02
4,18,2025-03-05
6,39,2024-07-13
5,8,2024-07-27
10,4,2024-11-18
10,21,2024-05-31
9,12,2024-11-11
8,16,2025-02-08
7,43,2024-12-14
6,18,2025-02-05
5,48,2024-10-09
4,42,2024-11-29
3,33,2024-04-11
2,35,2024-06-14
2,8,2024-03-26
1,35,2024-09-06
