match_id,league_id,hometeam_id,awayteam_id,hometeam_score,awayteam_score,date,match_location
1,1,1,2,4,0,2025/03/14,Arsenal Stadium
2,1,1,3,1,3,2025/03/15,Arsenal Stadium
3,1,1,4,3,4,2025/03/16,Arsenal Stadium
4,1,1,5,4,3,2025/03/17,Arsenal Stadium
5,1,1,6,3,3,2025/03/18,Arsenal Stadium
6,1,1,7,3,4,2025/03/19,Arsenal Stadium
7,1,1,8,2,4,2025/03/20,Arsenal Stadium
8,1,1,9,2,0,2025/03/21,Arsenal Stadium
9,1,1,10,0,3,2025/03/22,Arsenal Stadium
10,1,1,11,5,0,2025/03/23,Arsenal Stadium
11,1,1,12,0,0,2025/03/24,Arsenal Stadium
12,1,1,13,1,3,2025/03/25,Arsenal Stadium
13,1,1,14,1,4,2025/03/26,Arsenal Stadium
14,1,1,15,1,5,2025/03/27,Arsenal Stadium
15,1,1,16,4,5,2025/03/28,Arsenal Stadium
16,1,1,17,5,5,2025/03/29,Arsenal Stadium
17,1,1,18,2,0,2025/03/30,Arsenal Stadium
18,1,1,19,2,3,2025/03/31,Arsenal Stadium
19,1,1,20,1,4,2025/04/01,Arsenal Stadium
20,1,2,1,1,4,2025/04/02,Aston Villa Stadium
21,1,2,3,5,1,2025/04/03,Aston Villa Stadium
22,1,2,4,2,3,2025/04/04,Aston Villa Stadium
23,1,2,5,2,0,2025/04/05,Aston Villa Stadium
24,1,2,6,3,3,2025/04/06,Aston Villa Stadium
25,1,2,7,2,5,2025/04/07,Aston Villa Stadium
26,1,2,8,3,1,2025/04/08,Aston Villa Stadium
27,1,2,9,2,1,2025/04/09,Aston Villa Stadium
28,1,2,10,2,5,2025/04/10,Aston Villa Stadium
29,1,2,11,4,5,2025/04/11,Aston Villa Stadium
30,1,2,12,4,3,2025/04/12,Aston Villa Stadium
31,1,2,13,4,5,2025/04/13,Aston Villa Stadium
32,1,2,14,2,1,2025/04/14,Aston Villa Stadium
33,1,2,15,2,4,2025/04/15,Aston Villa Stadium
34,1,2,16,5,0,2025/04/16,Aston Villa Stadium
35,1,2,17,0,1,2025/04/17,Aston Villa Stadium
36,1,2,18,1,3,2025/04/18,Aston Villa Stadium
37,1,2,19,0,1,2025/04/19,Aston Villa Stadium
38,1,2,20,0,5,2025/04/20,Aston Villa Stadium
39,1,3,1,0,0,2025/04/21,Bournemouth Stadium
40,1,3,2,5,1,2025/04/22,Bournemouth Stadium
41,1,3,4,4,0,2025/04/23,Bournemouth Stadium
42,1,3,5,5,4,2025/04/24,Bournemouth Stadium
43,1,3,6,4,2,2025/04/25,Bournemouth Stadium
44,1,3,7,4,3,2025/04/26,Bournemouth Stadium
45,1,3,8,4,5,2025/04/27,Bournemouth Stadium
46,1,3,9,2,2,2025/04/28,Bournemouth Stadium
47,1,3,10,0,0,2025/04/29,Bournemouth Stadium
48,1,3,11,2,2,2025/04/30,Bournemouth Stadium
49,1,3,12,1,3,2025/05/01,Bournemouth Stadium
50,1,3,13,2,3,2025/05/02,Bournemouth Stadium
51,1,3,14,1,2,2025/05/03,Bournemouth Stadium
52,1,3,15,1,0,2025/05/04,Bournemouth Stadium
53,1,3,16,3,1,2025/05/05,Bournemouth Stadium
54,1,3,17,1,0,2025/05/06,Bournemouth Stadium
55,1,3,18,0,1,2025/05/07,Bournemouth Stadium
56,1,3,19,1,0,2025/05/08,Bournemouth Stadium
57,1,3,20,4,2,2025/05/09,Bournemouth Stadium
58,1,4,1,5,1,2025/05/10,Brentford Stadium
59,1,4,2,4,3,2025/05/11,Brentford Stadium
60,1,4,3,1,4,2025/05/12,Brentford Stadium
61,1,4,5,0,2,2025/05/13,Brentford Stadium
62,1,4,6,2,3,2025/05/14,Brentford Stadium
63,1,4,7,5,3,2025/05/15,Brentford Stadium
64,1,4,8,4,4,2025/05/16,Brentford Stadium
65,1,4,9,0,0,2025/05/17,Brentford Stadium
66,1,4,10,2,5,2025/05/18,Brentford Stadium
67,1,4,11,0,4,2025/05/19,Brentford Stadium
68,1,4,12,5,0,2025/05/20,Brentford Stadium
69,1,4,13,4,2,2025/05/21,Brentford Stadium
70,1,4,14,5,5,2025/05/22,Brentford Stadium
71,1,4,15,0,4,2025/05/23,Brentford Stadium
72,1,4,16,0,4,2025/05/24,Brentford Stadium
73,1,4,17,5,5,2025/05/25,Brentford Stadium
