match_id,player_id,goal,pass_acc,assist,playtime
21,97,2,82.15,0,90
34,110,1,84.23,1,90
12,73,3,90.24,0,90
19,43,3,72.11,0,90
14,53,1,87.36,1,90
6,180,3,60.87,2,90
31,129,0,84.05,2,90
32,114,2,97.19,0,90
8,373,3,86.57,0,90
34,316,0,63.26,0,90
39,313,1,99.85,2,90
32,279,2,61.05,1,90
6,482,0,81.32,2,90
40,40,1,98.38,0,90
26,234,3,87.37,1,90
5,143,0,94.48,2,90
29,360,2,60.78,0,90
18,513,3,71.16,1,90
39,142,2,62.38,0,90
39,500,3,60.37,0,90
5,386,2,84.05,2,90
17,371,0,66.59,2,90
8,127,3,73.2,0,90
12,262,0,77.15,2,90
8,352,3,77.06,2,90
38,335,0,75.82,1,90
13,208,0,97.45,1,90
14,202,0,80.55,1,90
29,273,3,79.37,0,90
37,508,3,92.38,0,90
24,444,0,81.72,2,90
14,223,2,76.4,0,90
10,391,3,78.74,2,90
29,83,1,71.99,1,90
32,202,0,77.04,0,90
30,391,1,63.73,1,90
22,395,2,96.81,1,90
5,231,2,63.07,1,90
35,204,0,93.43,2,90
11,315,1,95.08,1,90
16,138,0,75.41,1,90
33,102,3,63.61,2,90
23,12,3,88.87,0,90
37,397,2,89.78,1,90
17,270,1,87.77,0,90
8,246,3,77.06,2,90
33,114,0,80.25,1,90
22,192,1,81.99,1,90
23,127,0,91.65,1,90
21,97,0,89.12,1,90
16,81,1,60.14,2,90
1,432,1,96.21,0,90
33,324,0,81.62,0,90
22,317,0,93.78,1,90
6,315,2,79.3,0,90
29,111,2,61.04,0,90
38,524,0,82.53,1,90
34,158,2,99.99,2,90
11,57,1,86.53,0,90
27,123,2,89.26,0,90
14,424,1,97.51,0,90
37,251,0,77.07,2,90
39,301,2,75.26,0,90
31,120,1,95.1,2,90
2,220,0,79.02,0,90
29,442,2,89.39,0,90
29,190,3,62.92,1,90
16,410,2,69.24,0,90
1,453,3,68.35,1,90
18,519,1,62.86,2,90
11,29,2,81.72,1,90
35,491,1,68.22,2,90
34,424,3,83.02,2,90
33,66,3,67.81,1,90
10,306,1,66.21,2,90
23,439,2,64.22,2,90
30,194,2,80.92,1,90
40,476,3,82.66,0,90
9,167,2,76.05,2,90
6,465,3,65.43,2,90
33,101,1,61.25,2,90
6,485,1,70.93,0,90
36,363,3,83.74,1,90
22,414,2,97.75,2,90
22,99,3,71.14,1,90
26,71,3,66.78,1,90
38,381,3,66.96,0,90
16,370,1,79.29,0,90
14,441,3,96.03,0,90
30,130,1,74.33,1,90
11,265,2,98.91,1,90
20,57,2,80.42,1,90
19,320,3,98.95,0,90
26,47,0,69.84,0,90
13,400,3,67.21,1,90
19,497,2,87.74,2,90
33,327,1,74.82,0,90
36,286,2,96.94,2,90
20,15,2,62.26,2,90
31,149,2,77.42,0,90
